"Summary Sequence","Count","Status Sequence","Key Sequence","To Do Sequence","In Progress Sequence","Done Sequence"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Integrate new research into this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-150\\\FEATURE-198\\\EPIC-15\\\STORY-187","9\\\8\\\2\\\0","4\\\4\\\2\\\1","8\\\8\\\2\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Create skeleton workflow for this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-150\\\FEATURE-198\\\EPIC-343\\\STORY-456","9\\\8\\\3\\\0","4\\\4\\\2\\\1","8\\\8\\\1\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Decomission this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-260\\\EPIC-420\\\STORY-422","42\\\10\\\3\\\0","29\\\7\\\3\\\1","70\\\4\\\1\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-163\\\EPIC-12\\\STORY-131","42\\\8\\\3\\\1","29\\\2\\\0\\\0","70\\\6\\\5\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Integrate new research into this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-150\\\FEATURE-198\\\EPIC-15\\\STORY-351","9\\\8\\\2\\\1","4\\\4\\\2\\\0","8\\\8\\\2\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Integrate new research into this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-16\\\STORY-265","42\\\13\\\2\\\1","29\\\12\\\0\\\0","70\\\30\\\0\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Decomission this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-23\\\STORY-214","18\\\18\\\3\\\1","5\\\5\\\0\\\0","28\\\27\\\3\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Redesign layout of this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-447\\\STORY-452","42\\\10\\\3\\\1","29\\\7\\\1\\\0","70\\\4\\\1\\\0"
"Increase the Value yield of thing\\\13th Feature v0.2\\\Conduct user research on this thing\\\Add assets to this thing",1,"In Progress\\\To Do\\\To Do\\\To Do","THEME-150\\\FEATURE-197\\\EPIC-5\\\STORY-94","9\\\1\\\1\\\1","4\\\0\\\0\\\0","8\\\0\\\0\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Fix unintended functionality of this thing\\\Add assets to this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-150\\\FEATURE-198\\\EPIC-8\\\STORY-455","9\\\8\\\3\\\1","4\\\4\\\0\\\0","8\\\8\\\4\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-140","42\\\13\\\3\\\0","29\\\12\\\3\\\0","70\\\30\\\8\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Conduct user research on this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-191\\\STORY-199","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\4\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Redesign layout of this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-192\\\STORY-216","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\4\\\1"
"Allow customers to achieve their goal of thing\\\6th Feature v4.3\\\Integrate new research into this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\To Do\\\Done\\\Done","THEME-137\\\FEATURE-201\\\EPIC-2\\\STORY-171","1\\\1\\\0\\\0","3\\\0\\\0\\\0","34\\\9\\\8\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Build onboarding functionality for this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-22\\\STORY-245","18\\\18\\\1\\\0","5\\\5\\\0\\\0","28\\\27\\\8\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Decomission this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-23\\\STORY-231","18\\\18\\\3\\\0","5\\\5\\\0\\\0","28\\\27\\\3\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-232\\\EPIC-29\\\STORY-296","42\\\8\\\1\\\0","29\\\2\\\1\\\0","70\\\20\\\6\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-177","42\\\3\\\3\\\0","29\\\6\\\6\\\0","70\\\10\\\10\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Integrate new research into this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-40\\\STORY-375","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Increase customer retention\\\5th Feature v4.3\\\Conduct user research on this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-260\\\EPIC-41\\\STORY-410","42\\\10\\\3\\\0","29\\\7\\\3\\\0","70\\\4\\\2\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-411","18\\\18\\\5\\\0","5\\\5\\\2\\\0","28\\\27\\\9\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-469","18\\\18\\\8\\\0","5\\\5\\\2\\\0","28\\\27\\\6\\\1"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Decomission this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-150\\\FEATURE-198\\\EPIC-9\\\STORY-95","9\\\8\\\0\\\0","4\\\4\\\0\\\0","8\\\8\\\1\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-19\\\STORY-344","42\\\13\\\1\\\0","29\\\12\\\2\\\1","70\\\30\\\3\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-28\\\STORY-483","42\\\13\\\1\\\0","29\\\12\\\4\\\1","70\\\30\\\4\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-232\\\EPIC-29\\\STORY-349","42\\\8\\\1\\\0","29\\\2\\\1\\\1","70\\\20\\\6\\\0"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-53","42\\\3\\\3\\\0","29\\\6\\\6\\\1","70\\\10\\\10\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-138\\\FEATURE-174\\\EPIC-4\\\STORY-91","18\\\18\\\1\\\0","5\\\5\\\1\\\1","28\\\27\\\1\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-418","18\\\18\\\5\\\0","5\\\5\\\2\\\1","28\\\27\\\9\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Build onboarding functionality for this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-163\\\EPIC-25\\\STORY-278","42\\\8\\\3\\\1","29\\\2\\\1\\\0","70\\\6\\\0\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-232\\\EPIC-38\\\STORY-371","42\\\8\\\4\\\1","29\\\2\\\0\\\0","70\\\20\\\0\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-493","18\\\18\\\8\\\1","5\\\5\\\2\\\0","28\\\27\\\6\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Integrate new research into this thing\\\Add onboarding functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-485\\\STORY-486","42\\\10\\\1\\\1","29\\\7\\\0\\\0","70\\\4\\\0\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-114","42\\\13\\\3\\\0","29\\\12\\\3\\\0","70\\\30\\\8\\\1"
"<theme not tagged>\\\<feature not tagged>\\\Redesign layout of this thing\\\Build cloud pipeline for this thing",1,"Done\\\Done\\\Done\\\Done","THEME-??\\\FEATURE-??\\\EPIC-13\\\STORY-122","0\\\0\\\0\\\0","0\\\0\\\0\\\0","1\\\1\\\1\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-19\\\STORY-261","42\\\13\\\1\\\0","29\\\12\\\2\\\0","70\\\30\\\3\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Conduct user research on this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-191\\\STORY-222","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\4\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Redesign layout of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-192\\\STORY-201","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\4\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Create skeleton workflow for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-193\\\STORY-205","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\5\\\1"
"Allow customers to achieve their goal of thing\\\6th Feature v4.3\\\Integrate new research into this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\To Do\\\Done\\\Done","THEME-137\\\FEATURE-201\\\EPIC-2\\\STORY-170","1\\\1\\\0\\\0","3\\\0\\\0\\\0","34\\\9\\\8\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Decomission this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-20\\\STORY-14","1\\\0\\\0\\\0","3\\\3\\\2\\\0","34\\\12\\\5\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Conduct user research on this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-21\\\STORY-236","1\\\0\\\0\\\0","3\\\3\\\1\\\0","34\\\12\\\6\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Build onboarding functionality for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-22\\\STORY-259","18\\\18\\\1\\\0","5\\\5\\\0\\\0","28\\\27\\\8\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Decomission this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-23\\\STORY-229","18\\\18\\\3\\\0","5\\\5\\\0\\\0","28\\\27\\\3\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-24\\\STORY-221","42\\\13\\\2\\\0","29\\\12\\\1\\\0","70\\\30\\\7\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-232\\\EPIC-29\\\STORY-336","42\\\8\\\1\\\0","29\\\2\\\1\\\0","70\\\20\\\6\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-74","42\\\3\\\3\\\0","29\\\6\\\6\\\0","70\\\10\\\10\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Redesign layout of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-136\\\FEATURE-232\\\EPIC-30\\\STORY-481","42\\\8\\\3\\\0","29\\\2\\\0\\\0","70\\\20\\\1\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Build onboarding functionality for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-36\\\STORY-365","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Build onboarding functionality for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-37\\\STORY-368","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-402","18\\\18\\\5\\\0","5\\\5\\\2\\\0","28\\\27\\\9\\\1"
"Increase customer retention\\\5th Feature v4.3\\\Decomission this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-260\\\EPIC-420\\\STORY-464","42\\\10\\\3\\\0","29\\\7\\\3\\\0","70\\\4\\\1\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-441","18\\\18\\\8\\\0","5\\\5\\\2\\\0","28\\\27\\\6\\\1"
